[0.7215 0.6651 0.5727 0.4759 0.3531 0.2351 0.1311]
epoch=  419  step= 5450  Loss=0.6037  cls_acc=92.38  best_map=46.13
[0.7281 0.6718 0.5792 0.4819 0.3587 0.2443 0.1441]
epoch=  423  step= 5500  Loss=0.5926  cls_acc=92.38  best_map=46.13
[0.7310 0.6715 0.5762 0.4773 0.3592 0.2401 0.1373]
epoch=  426  step= 5550  Loss=0.5882  cls_acc=91.90  best_map=46.13
[0.7153 0.6597 0.5629 0.4710 0.3495 0.2339 0.1301]
epoch=  430  step= 5600  Loss=0.5843  cls_acc=91.43  best_map=46.13
[0.7233 0.6663 0.5737 0.4720 0.3543 0.2402 0.1358]
epoch=  434  step= 5650  Loss=0.6007  cls_acc=90.95  best_map=46.13
[0.7079 0.6540 0.5580 0.4644 0.3463 0.2311 0.1244]
epoch=  438  step= 5700  Loss=0.5874  cls_acc=89.05  best_map=46.13
[0.7147 0.6605 0.5692 0.4697 0.3511 0.2387 0.1369]
epoch=  442  step= 5750  Loss=0.5797  cls_acc=89.52  best_map=46.13
[0.7304 0.6747 0.5802 0.4765 0.3569 0.2401 0.1405]
epoch=  446  step= 5800  Loss=0.5707  cls_acc=91.90  best_map=46.13
[0.7315 0.6757 0.5816 0.4787 0.3609 0.2381 0.1423]
epoch=  449  step= 5850  Loss=0.5704  cls_acc=90.95  best_map=46.13
[0.7262 0.6707 0.5772 0.4766 0.3545 0.2355 0.1356]
epoch=  453  step= 5900  Loss=0.5659  cls_acc=90.95  best_map=46.13
[0.7195 0.6638 0.5672 0.4703 0.3510 0.2326 0.1308]
epoch=  457  step= 5950  Loss=0.5806  cls_acc=90.95  best_map=46.13
[0.7213 0.6647 0.5730 0.4704 0.3504 0.2320 0.1346]
epoch=  461  step= 6000  Loss=0.5712  cls_acc=90.00  best_map=46.13
[0.7068 0.6498 0.5613 0.4638 0.3494 0.2334 0.1306]
epoch=  465  step= 6050  Loss=0.5837  cls_acc=90.00  best_map=46.13
[0.7088 0.6510 0.5613 0.4621 0.3435 0.2255 0.1293]
epoch=  469  step= 6100  Loss=0.5744  cls_acc=89.52  best_map=46.13
[0.7166 0.6632 0.5741 0.4739 0.3539 0.2368 0.1371]
epoch=  473  step= 6150  Loss=0.5764  cls_acc=91.43  best_map=46.13
[0.7096 0.6548 0.5616 0.4670 0.3434 0.2263 0.1281]
epoch=  476  step= 6200  Loss=0.5822  cls_acc=89.52  best_map=46.13
[0.7043 0.6480 0.5562 0.4580 0.3432 0.2270 0.1271]
epoch=  480  step= 6250  Loss=0.5692  cls_acc=90.48  best_map=46.13
[0.7193 0.6629 0.5677 0.4684 0.3468 0.2276 0.1266]
epoch=  484  step= 6300  Loss=0.5853  cls_acc=91.90  best_map=46.13
[0.7198 0.6631 0.5667 0.4695 0.3462 0.2290 0.1298]
epoch=  488  step= 6350  Loss=0.5710  cls_acc=92.38  best_map=46.13
[0.7173 0.6603 0.5654 0.4637 0.3449 0.2252 0.1289]
epoch=  492  step= 6400  Loss=0.5622  cls_acc=91.43  best_map=46.13
[0.7271 0.6677 0.5744 0.4741 0.3498 0.2294 0.1337]
epoch=  496  step= 6450  Loss=0.5724  cls_acc=91.43  best_map=46.13
[0.7145 0.6565 0.5611 0.4602 0.3397 0.2228 0.1222]
epoch=  499  step= 6500  Loss=0.5660  cls_acc=90.95  best_map=46.13
[0.7123 0.6556 0.5578 0.4598 0.3422 0.2234 0.1240]
epoch=  503  step= 6550  Loss=0.5533  cls_acc=90.00  best_map=46.13
[0.7096 0.6549 0.5602 0.4620 0.3416 0.2264 0.1275]
epoch=  507  step= 6600  Loss=0.5424  cls_acc=90.48  best_map=46.13
[0.7092 0.6539 0.5609 0.4603 0.3420 0.2287 0.1298]
epoch=  511  step= 6650  Loss=0.5529  cls_acc=90.48  best_map=46.13
[0.7136 0.6575 0.5618 0.4633 0.3405 0.2238 0.1254]
epoch=  515  step= 6700  Loss=0.5542  cls_acc=91.43  best_map=46.13
[0.7186 0.6618 0.5652 0.4645 0.3424 0.2242 0.1271]
epoch=  519  step= 6750  Loss=0.5476  cls_acc=92.38  best_map=46.13
[0.7144 0.6576 0.5631 0.4622 0.3379 0.2189 0.1237]
epoch=  523  step= 6800  Loss=0.5365  cls_acc=91.90  best_map=46.13
[0.7230 0.6656 0.5691 0.4683 0.3452 0.2272 0.1268]
epoch=  526  step= 6850  Loss=0.5369  cls_acc=91.90  best_map=46.13
[0.7078 0.6524 0.5561 0.4528 0.3300 0.2148 0.1197]
epoch=  530  step= 6900  Loss=0.5358  cls_acc=90.00  best_map=46.13
[0.7084 0.6530 0.5540 0.4552 0.3349 0.2187 0.1225]
epoch=  534  step= 6950  Loss=0.5417  cls_acc=90.48  best_map=46.13
[0.7130 0.6587 0.5660 0.4642 0.3428 0.2251 0.1259]
epoch=  538  step= 7000  Loss=0.5238  cls_acc=91.43  best_map=46.13
[0.7154 0.6596 0.5595 0.4641 0.3372 0.2253 0.1236]
epoch=  542  step= 7050  Loss=0.5231  cls_acc=91.90  best_map=46.13
[0.7109 0.6533 0.5566 0.4567 0.3382 0.2216 0.1240]
epoch=  546  step= 7100  Loss=0.5299  cls_acc=90.48  best_map=46.13
[0.7207 0.6633 0.5732 0.4690 0.3485 0.2285 0.1298]
epoch=  549  step= 7150  Loss=0.5397  cls_acc=91.90  best_map=46.13
[0.7021 0.6444 0.5462 0.4484 0.3274 0.2084 0.1116]
epoch=  553  step= 7200  Loss=0.5300  cls_acc=90.95  best_map=46.13
[0.6961 0.6413 0.5409 0.4451 0.3213 0.2090 0.1110]
epoch=  557  step= 7250  Loss=0.5248  cls_acc=90.95  best_map=46.13
[0.7170 0.6608 0.5598 0.4629 0.3358 0.2230 0.1227]
epoch=  561  step= 7300  Loss=0.5108  cls_acc=92.38  best_map=46.13
[0.7088 0.6527 0.5511 0.4531 0.3288 0.2149 0.1140]
epoch=  565  step= 7350  Loss=0.5045  cls_acc=91.90  best_map=46.13
[0.7084 0.6527 0.5551 0.4592 0.3331 0.2196 0.1199]
epoch=  569  step= 7400  Loss=0.4948  cls_acc=91.90  best_map=46.13
[0.6882 0.6333 0.5330 0.4446 0.3251 0.2126 0.1107]
epoch=  573  step= 7450  Loss=0.5045  cls_acc=89.05  best_map=46.13
[0.7008 0.6422 0.5446 0.4501 0.3300 0.2132 0.1167]
epoch=  576  step= 7500  Loss=0.5127  cls_acc=90.48  best_map=46.13
[0.7058 0.6492 0.5534 0.4557 0.3329 0.2224 0.1192]
epoch=  580  step= 7550  Loss=0.5031  cls_acc=90.48  best_map=46.13
