[0.7078 0.6501 0.5572 0.4616 0.3483 0.2338 0.1275]
epoch=  603  step= 7850  Loss=0.4006  cls_acc=91.43  best_map=45.14
[0.7130 0.6569 0.5624 0.4620 0.3471 0.2365 0.1349]
epoch=  607  step= 7900  Loss=0.4078  cls_acc=92.38  best_map=45.14
[0.7086 0.6480 0.5552 0.4569 0.3463 0.2334 0.1305]
epoch=  611  step= 7950  Loss=0.4185  cls_acc=91.90  best_map=45.14
[0.7071 0.6506 0.5566 0.4583 0.3450 0.2351 0.1304]
epoch=  615  step= 8000  Loss=0.4123  cls_acc=91.43  best_map=45.14
[0.7119 0.6536 0.5604 0.4638 0.3484 0.2391 0.1385]
epoch=  619  step= 8050  Loss=0.4445  cls_acc=91.90  best_map=45.14
[0.7044 0.6436 0.5519 0.4564 0.3449 0.2346 0.1302]
epoch=  623  step= 8100  Loss=0.4644  cls_acc=91.43  best_map=45.14
[0.7061 0.6479 0.5553 0.4569 0.3504 0.2377 0.1284]
epoch=  626  step= 8150  Loss=0.4751  cls_acc=89.05  best_map=45.14
[0.7138 0.6551 0.5660 0.4672 0.3539 0.2399 0.1321]
epoch=  630  step= 8200  Loss=0.4894  cls_acc=92.38  best_map=45.14
[0.7119 0.6555 0.5647 0.4675 0.3509 0.2384 0.1285]
epoch=  634  step= 8250  Loss=0.4975  cls_acc=92.86  best_map=45.14
[0.7079 0.6488 0.5605 0.4656 0.3476 0.2339 0.1276]
epoch=  638  step= 8300  Loss=0.5065  cls_acc=91.90  best_map=45.14
[0.7152 0.6554 0.5636 0.4700 0.3506 0.2400 0.1291]
epoch=  642  step= 8350  Loss=0.4939  cls_acc=92.86  best_map=45.14
[0.7023 0.6450 0.5517 0.4623 0.3482 0.2331 0.1256]
epoch=  646  step= 8400  Loss=0.5007  cls_acc=90.00  best_map=45.14
[0.7102 0.6523 0.5598 0.4674 0.3526 0.2389 0.1294]
epoch=  649  step= 8450  Loss=0.4999  cls_acc=90.95  best_map=45.14
[0.7159 0.6580 0.5641 0.4682 0.3559 0.2390 0.1317]
epoch=  653  step= 8500  Loss=0.4859  cls_acc=92.86  best_map=45.14
[0.7165 0.6605 0.5679 0.4737 0.3579 0.2427 0.1345]
epoch=  657  step= 8550  Loss=0.4975  cls_acc=91.90  best_map=45.14
[0.7159 0.6589 0.5641 0.4709 0.3544 0.2419 0.1337]
epoch=  661  step= 8600  Loss=0.4854  cls_acc=91.90  best_map=45.14
[0.7204 0.6634 0.5718 0.4765 0.3600 0.2427 0.1351]
epoch=  665  step= 8650  Loss=0.4840  cls_acc=92.86  best_map=45.28
[0.7139 0.6537 0.5621 0.4684 0.3521 0.2384 0.1317]
epoch=  669  step= 8700  Loss=0.4805  cls_acc=92.86  best_map=45.28
[0.7173 0.6568 0.5651 0.4696 0.3526 0.2407 0.1337]
epoch=  673  step= 8750  Loss=0.4735  cls_acc=91.90  best_map=45.28
[0.7151 0.6599 0.5673 0.4723 0.3552 0.2405 0.1337]
epoch=  676  step= 8800  Loss=0.4842  cls_acc=91.43  best_map=45.28
[0.7158 0.6544 0.5642 0.4697 0.3546 0.2367 0.1255]
epoch=  680  step= 8850  Loss=0.4774  cls_acc=91.90  best_map=45.28
[0.7140 0.6558 0.5621 0.4663 0.3514 0.2374 0.1337]
epoch=  684  step= 8900  Loss=0.4578  cls_acc=90.00  best_map=45.28
[0.7135 0.6533 0.5630 0.4678 0.3498 0.2352 0.1329]
epoch=  688  step= 8950  Loss=0.4544  cls_acc=91.43  best_map=45.28
[0.7139 0.6538 0.5613 0.4659 0.3460 0.2305 0.1259]
epoch=  692  step= 9000  Loss=0.4649  cls_acc=92.86  best_map=45.28
[0.7139 0.6540 0.5602 0.4659 0.3544 0.2387 0.1340]
epoch=  696  step= 9050  Loss=0.4577  cls_acc=90.48  best_map=45.28
[0.7207 0.6612 0.5666 0.4723 0.3534 0.2415 0.1346]
epoch=  699  step= 9100  Loss=0.4604  cls_acc=91.90  best_map=45.28
